22824
[('630', '4'), ('630', '8')]
[('939', '0'), ('939', '6')]
[('357', '1'), ('357', '9')]
[('954', '1'), ('954', '8')]
[('677', '2'), ('677', '8')]
[('826', '0'), ('826', '9')]
[('728', '4'), ('728', '7')]
[('934', '3'), ('934', '9')]
[('873', '0'), ('873', '9')]
[('873', '0'), ('873', '9')]
[('931', '0'), ('931', '8')]
[('650', '1'), ('650', '6')]
[('231', '2'), ('231', '9')]
[('650', '1'), ('650', '6')]
[('750', '6'), ('750', '9')]
[('650', '1'), ('650', '6')]
[('329', '0'), ('329', '9')]
[('899', '2'), ('899', '8')]
[('790', '0'), ('790', '8')]
[('373', '0'), ('373', '8')]
[('750', '6'), ('750', '9')]
[('792', '4'), ('792', '8')]
[('150', '0'), ('150', '9')]
[('728', '4'), ('728', '7')]
[('954', '1'), ('954', '8')]
[('111', '0'), ('111', '8')]
[('111', '0'), ('111', '8')]
[('814', '0'), ('814', '8')]
[('650', '1'), ('650', '6')]
[('986', '1'), ('986', '7')]
[('939', '0'), ('939', '6')]
[('790', '0'), ('790', '8')]
[('976', '1'), ('976', '9')]
[('357', '1'), ('357', '9')]
[('939', '0'), ('939', '6')]
[('728', '4'), ('728', '7')]
[('826', '0'), ('826', '9')]
[('728', '4'), ('728', '7')]
[('357', '1'), ('357', '9')]
[('931', '0'), ('931', '8')]
[('373', '0'), ('373', '8')]
[('750', '6'), ('750', '9')]
[('986', '1'), ('986', '7')]
[('934', '3'), ('934', '9')]
[('758', '1'), ('758', '9')]
[('844', '1'), ('844', '8')]
[('814', '0'), ('814', '8')]
[('844', '1'), ('844', '8')]
[('415', '0'), ('415', '4')]
[('575', '0'), ('575', '8')]
[('912', '3'), ('912', '8')]
[('792', '4'), ('792', '8')]
[('540', '2'), ('540', '6')]
[('357', '1'), ('357', '9')]
[('826', '0'), ('826', '9')]
[('547', '0'), ('547', '9')]
[('650', '1'), ('650', '6')]
[('775', '0'), ('775', '9')]
[('493', '3'), ('493', '9')]
[('711', '1'), ('711', '9')]
[('677', '2'), ('677', '8')]
[('954', '1'), ('954', '8')]
[('677', '2'), ('677', '8')]
[('986', '1'), ('986', '7')]
[('493', '3'), ('493', '9')]
[('575', '0'), ('575', '8')]
[('873', '0'), ('873', '9')]
[('976', '1'), ('976', '9')]
[('954', '1'), ('954', '8')]
[('963', '1'), ('963', '5')]
[('976', '1'), ('976', '9')]
[('963', '1'), ('963', '5')]
[('540', '2'), ('540', '6')]
[('540', '2'), ('540', '6')]
[('750', '6'), ('750', '9')]
[('630', '4'), ('630', '8')]
[('976', '1'), ('976', '9')]
[('775', '0'), ('775', '9')]
[('540', '2'), ('540', '6')]
[('973', '1'), ('973', '8')]
[('899', '2'), ('899', '8')]
[('963', '1'), ('963', '5')]
[('775', '0'), ('775', '9')]
[('934', '3'), ('934', '9')]
[('478', '0'), ('478', '9')]
[('814', '0'), ('814', '8')]
[('540', '2'), ('540', '6')]
[('790', '0'), ('790', '8')]
[('478', '0'), ('478', '9')]
[('826', '0'), ('826', '9')]
[('231', '2'), ('231', '9')]
[('650', '1'), ('650', '6')]
[('677', '2'), ('677', '8')]
[('728', '4'), ('728', '7')]
[('415', '0'), ('415', '4')]
[('775', '0'), ('775', '9')]
[('775', '0'), ('775', '9')]
[('954', '1'), ('954', '8')]
[('934', '3'), ('934', '9')]
[('986', '1'), ('986', '7')]
[('873', '0'), ('873', '9')]
[('844', '1'), ('844', '8')]
[('954', '1'), ('954', '8')]
[('728', '4'), ('728', '7')]
[('575', '0'), ('575', '8')]
[('934', '3'), ('934', '9')]
[('973', '1'), ('973', '8')]
[('912', '3'), ('912', '8')]
[('792', '4'), ('792', '8')]
[('575', '0'), ('575', '8')]
[('931', '0'), ('931', '8')]
[('415', '0'), ('415', '4')]
[('650', '1'), ('650', '6')]
[('150', '0'), ('150', '9')]
[('728', '4'), ('728', '7')]
[('939', '0'), ('939', '6')]
[('844', '1'), ('844', '8')]
[('630', '4'), ('630', '8')]
[('792', '4'), ('792', '8')]
[('637', '3'), ('637', '9')]
[('169', '0'), ('169', '9')]
[('224', '0'), ('224', '9')]
[('899', '2'), ('899', '8')]
[('677', '2'), ('677', '8')]
[('986', '1'), ('986', '7')]
[('826', '0'), ('826', '9')]
[('758', '1'), ('758', '9')]
[('782', '1'), ('782', '5')]
[('939', '0'), ('939', '6')]
[('873', '0'), ('873', '9')]
[('650', '1'), ('650', '6')]
[('826', '0'), ('826', '9')]
[('963', '1'), ('963', '5')]
[('224', '0'), ('224', '9')]
[('540', '2'), ('540', '6')]
[('493', '3'), ('493', '9')]
[('564', '1'), ('564', '5')]
[('931', '0'), ('931', '8')]
[('775', '0'), ('775', '9')]
[('750', '6'), ('750', '9')]
[('224', '0'), ('224', '9')]
[('782', '1'), ('782', '5')]
[('415', '0'), ('415', '4')]
[('329', '0'), ('329', '9')]
[('750', '6'), ('750', '9')]
[('934', '3'), ('934', '9')]
[('637', '3'), ('637', '9')]
[('575', '0'), ('575', '8')]
[('493', '3'), ('493', '9')]
[('150', '0'), ('150', '9')]
[('677', '2'), ('677', '8')]
[('814', '0'), ('814', '8')]
[('963', '1'), ('963', '5')]
[('728', '4'), ('728', '7')]
[('873', '0'), ('873', '9')]
[('150', '0'), ('150', '9')]
[('873', '0'), ('873', '9')]
[('790', '0'), ('790', '8')]
[('630', '4'), ('630', '8')]
[('150', '0'), ('150', '9')]
[('934', '3'), ('934', '9')]
[('650', '1'), ('650', '6')]
[('575', '0'), ('575', '8')]
[('782', '1'), ('782', '5')]
[('169', '0'), ('169', '9')]
[('150', '0'), ('150', '9')]
[('912', '3'), ('912', '8')]
[('973', '1'), ('973', '8')]
[('575', '0'), ('575', '8')]
[('547', '0'), ('547', '9')]
[('973', '1'), ('973', '8')]
[('650', '1'), ('650', '6')]
[('973', '1'), ('973', '8')]
[('224', '0'), ('224', '9')]
[('630', '4'), ('630', '8')]
[('637', '3'), ('637', '9')]
[('814', '0'), ('814', '8')]
[('899', '2'), ('899', '8')]
[('775', '0'), ('775', '9')]
[('844', '1'), ('844', '8')]
[('899', '2'), ('899', '8')]
[('224', '0'), ('224', '9')]
[('684', '0'), ('684', '9')]
[('111', '0'), ('111', '8')]
[('111', '0'), ('111', '8')]
[('826', '0'), ('826', '9')]
[('826', '0'), ('826', '9')]
[('637', '3'), ('637', '9')]
[('329', '0'), ('329', '9')]
[('357', '1'), ('357', '9')]
[('939', '0'), ('939', '6')]
[('329', '0'), ('329', '9')]
[('873', '0'), ('873', '9')]
[('973', '1'), ('973', '8')]
[('954', '1'), ('954', '8')]
[('931', '0'), ('931', '8')]
[('650', '1'), ('650', '6')]
[('954', '1'), ('954', '8')]
[('357', '1'), ('357', '9')]
[('826', '0'), ('826', '9')]
[('826', '0'), ('826', '9')]
[('814', '0'), ('814', '8')]
[('750', '6'), ('750', '9')]
[('758', '1'), ('758', '9')]
[('224', '0'), ('224', '9')]
[('814', '0'), ('814', '8')]
[('478', '0'), ('478', '9')]
[('931', '0'), ('931', '8')]
[('976', '1'), ('976', '9')]
[('684', '0'), ('684', '9')]
[('575', '0'), ('575', '8')]
[('357', '1'), ('357', '9')]
[('814', '0'), ('814', '8')]
[('637', '3'), ('637', '9')]
[('790', '0'), ('790', '8')]
[('547', '0'), ('547', '9')]
[('973', '1'), ('973', '8')]
[('782', '1'), ('782', '5')]
[('954', '1'), ('954', '8')]
[('169', '0'), ('169', '9')]
[('844', '1'), ('844', '8')]
[('750', '6'), ('750', '9')]
[('564', '1'), ('564', '5')]
[('844', '1'), ('844', '8')]
[('973', '1'), ('973', '8')]
[('650', '1'), ('650', '6')]
